width_height,device,user,new_user,session,bounce_rate,page_bounce_rate,avarage_session_time,conversion_rate,target_completion,target
1920x1080,desktop,31,27,35,5.71%,2.49,00:00:44,0.00%,0,$0.00
1440x900,desktop,26,25,28,0.00%,2.46,00:01:37,0.00%,0,$0.00
1680x1050,desktop,18,14,21,4.76%,2.57,00:01:24,0.00%,0,$0.00
1920x1200,desktop,13,13,14,0.00%,2.43,00:00:03,0.00%,0,$0.00
2560x1440,desktop,8,5,11,9.09%,2.27,00:01:59,0.00%,0,$0.00
1280x800,desktop,6,5,6,0.00%,2.00,00:00:01,0.00%,0,$0.00
1280x1024,desktop,4,4,4,25.00%,3.25,00:00:22,0.00%,0,$0.00
1366x768,desktop,4,4,6,16.67%,2.83,00:00:09,0.00%,0,$0.00
375x667,mobile,3,2,8,12.50%,2.25,00:00:21,0.00%,0,$0.00
1024x1366,tablet,2,2,2,0.00%,2.00,00:00:04,0.00%,0,$0.00
1280x720,desktop,2,1,2,0.00%,2.00,00:00:01,0.00%,0,$0.00
1536x864,desktop,2,1,6,0.00%,3.00,00:07:46,0.00%,0,$0.00
375x812,mobile,2,1,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
1093x614,desktop,1,0,2,0.00%,3.00,00:00:31,0.00%,0,$0.00
1463x823,desktop,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
1600x900,desktop,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
2048x1152,desktop,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
2880x1620,desktop,1,1,2,0.00%,2.00,00:00:01,0.00%,0,$0.00
3072x1728,desktop,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
360x640,mobile,1,1,1,0.00%,6.00,00:01:56,0.00%,0,$0.00
360x740,mobile,1,1,1,0.00%,24.00,00:00:46,0.00%,0,$0.00
412x823,mobile,1,1,1,0.00%,3.00,00:00:07,0.00%,0,$0.00
412x869,mobile,1,1,1,0.00%,3.00,00:00:16,0.00%,0,$0.00
414x736,mobile,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
414x896,mobile,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
834x1112,tablet,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
